Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1960,Chemistry,for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science,University of California,Los Angeles CA,1908,1980,Willard F. Libby,USA,Grand Valley CO,USA,Los Angeles CA,USA,M,72
1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,Max-Planck-Institut fÅr Kohlenforschung,MÅlheim an der Ruhr,1898,1973,Karl Ziegler,Germany,Helsa,Germany,MÅlheim,Germany,M,75
1998,Chemistry,for his development of computational methods in quantum chemistry,Northwestern University,Evanston IL,1925,2004,John Pople,United Kingdom,Burnham-on-Sea,USA,Chicago IL,USA,M,79
1986,Physics,for his fundamental work in electron optics and for the design of the first electron microscope,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,1906,1988,Ernst Ruska,Germany,Heidelberg,Germany,West Berlin,Germany,M,82
1986,Physics,for their design of the scanning tunneling microscope,IBM Zurich Research Laboratory,RÅschlikon,1933,2013,Heinrich Rohrer,Switzerland,Buchs,Switzerland,Wollerau,Switzerland,M,80
1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form,Rockefeller Institute for Medical Research,Princeton NJ,1891,1987,John H. Northrop,USA,Yonkers NY,USA,Wickenberg AZ,USA,M,96
1913,Peace,for his unparalleled contribution to the organization of peaceful internationalism,,,1854,1943,Henri La Fontaine,Belgium,Brussels,Belgium,Brussels,,M,89
1925,Peace,for his crucial role in bringing about the Locarno Treaty,,,1863,1937,Sir Austen Chamberlain,United Kingdom,Birmingham,United Kingdom,London,,M,74
1934,Peace,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,,,1863,1935,Arthur Henderson,Scotland,Glasgow,United Kingdom,London,,M,72
1950,Peace,for his work as mediator in Palestine in 1948-1949,Harvard University,Cambridge MA,1904,1971,Ralph Bunche,USA,Detroit MI,USA,New York NY,USA,M,67
1965,Peace,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,,,,,United Nations Children's Fund,,,,,,,
1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,,,1943,2020,Betty Williams,Northern Ireland,Belfast,Northern Ireland,Belfast,,F,77
1994,Peace,for their efforts to create peace in the Middle East,,,1922,1995,Yitzhak Rabin,Israel,Jerusalem,Israel,Tel Aviv,,M,73
1967,Literature,for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America,,,1899,1974,Miguel Angel Asturias,Guatemala,Guatemala City,Spain,Madrid,,M,75
1972,Economics,for their pioneering contributions to general economic equilibrium theory and welfare theory,All Souls College,Oxford,1904,1989,John R. Hicks,United Kingdom,Warwick,United Kingdom,Blockley,United Kingdom,M,85
2017,Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Brandeis University,Waltham MA,1944,,Michael Rosbash,USA,Kansas City MO,,,USA,M,
2019,Medicine,for their discoveries of how cells sense and adapt to oxygen availability,University of Oxford,Oxford,1954,,Peter Ratcliffe,United Kingdom,Lancashire,,,United Kingdom,M,
2020,Physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity,University of Oxford,Oxford,1931,,Roger Penrose,United Kingdom,Colchester,,,United Kingdom,M,
1905,Literature,because of his outstanding merits as an epic writer,,,1846,1916,Henryk Sienkiewicz,Poland,Wola Okrzejska,Switzerland,Vevey,,M,70
2022,Physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,Institut d'Optique Graduate School - UniversitÇ Paris-Saclay,Paris,1947,,Alain Aspect,France,Agen,,,France,M,
1978,Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,Johns Hopkins University School of Medicine,Baltimore MD,1928,1999,Daniel Nathans,USA,Wilmington DE,USA,Baltimore MD,USA,M,71
2005,Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,1951,,Barry J. Marshall,Australia,Kalgoorlie,,,Australia,M,
2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,University of California,Berkeley CA,1945,,George F. Smoot,USA,Yukon FL,,,USA,M,
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Johns Hopkins University,Baltimore MD,1969,,Adam G. Riess,USA,Washington D.C.,,,USA,M,
2013,Literature,master of the contemporary short story,,,1931,,Alice Munro,Canada,Wingham,,,,F,
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Meijo University,Nagoya,1929,2021,Isamu Akasaki,Japan,Chiran,Japan,Nagoya,Japan,M,92
1977,Medicine,for their discoveries concerning the peptide hormone production of the brain,Veterans Administration Hospital,New Orleans LA,1926,,Andrew V. Schally,Lithuania,Vilnius,,,USA,M,
1992,Medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,University of Washington,Seattle WA,1920,2021,Edmond H. Fischer,China,Shanghai,USA,Seattle WA,USA,M,101
1996,Medicine,for their discoveries concerning the specificity of the cell mediated immune defence,University of Zurich Institute of Experimental Immunology,Zurich,1944,,Rolf M. Zinkernagel,Switzerland,Basel,,,Switzerland,M,
1985,Physics,for the discovery of the quantized Hall effect,Max-Planck-Institut fÅr Festkîrperforschung,Stuttgart,1943,,Klaus von Klitzing,Poland,Schroda,,,Germany,M,
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Stanford University,Stanford CA,1950,,Robert B. Laughlin,USA,Visalia CA,,,USA,M,
1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,London University,London,1865,1940,Arthur Harden,United Kingdom,Manchester,United Kingdom,Bourne,United Kingdom,M,75
1939,Chemistry,for his work on sex hormones,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fÅr Biochemie,Berlin-Dahlem,1903,1995,Adolf Butenandt,Germany,Bremerhaven-Lehe,Germany,Munich,Germany,M,92
1944,Chemistry,for his discovery of the fission of heavy nuclei,Kaiser-Wilhelm-Institut (now Max-Planck Institut) fÅr Chemie,Berlin-Dahlem,1879,1968,Otto Hahn,Germany,Frankfurt-on-the-Main,Germany,Gîttingen,Germany,M,89
2016,Chemistry,for the design and synthesis of molecular machines,University of Groningen,Groningen,1951,,Bernard L. Feringa,Netherlands,Barger-Compascuum,,,Netherlands,M,
2018,Physics,for their method of generating high-intensity ultra-short optical pulses,University of Waterloo,Waterloo,1959,,Donna Strickland,Canada,Guelph,,,Canada,F,
2008,Chemistry,for the discovery and development of the green fluorescent protein GFP,Columbia University,New York NY,1947,,Martin Chalfie,USA,Chicago IL,,,USA,M,
2009,Peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,,,1961,,Barack Obama,USA,Honolulu HI,,,,M,
2012,Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Kyoto University,Kyoto,1962,,Shinya Yamanaka,Japan,Osaka,,,Japan,M,
2014,Medicine,for their discoveries of cells that constitute a positioning system in the brain,Norwegian University of Science and Technology (NTNU),Trondheim,1963,,May-Britt Moser,Norway,FosnavÜg,,,Norway,F,
2014,Medicine,for their discoveries of cells that constitute a positioning system in the brain,Norwegian University of Science and Technology (NTNU),Trondheim,1962,,Edvard I. Moser,Norway,èlesund,,,Norway,M,
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,Stanford University,Stanford CA,1966,,Carolyn Bertozzi,USA,Boston MA,,,USA,F,
2022,Peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,,,,,Memorial,,,,,,,
2019,Economics,for their experimental approach to alleviating global poverty,Massachusetts Institute of Technology (MIT),Cambridge MA,1961,,Abhijit Banerjee,India,Mumbai,,,USA,M,
2001,Chemistry,for their work on chirally catalysed hydrogenation reactions,Nagoya University,Nagoya,1938,,Ryoji Noyori,Japan,Kobe,,,Japan,M,
2002,Physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,University of Pennsylvania,Philadelphia PA,1914,2006,Raymond Davis Jr.,USA,Washington D.C.,USA,Blue Point NY,USA,M,92
2005,Physics,for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique,University of Colorado JILA,Boulder CO,1934,,John L. Hall,USA,Denver CO,,,USA,M,
1908,Peace,for their long time work for the cause of peace as politicians peace society leaders orators and authors,,,1844,1916,Klas Pontus Arnoldson,Sweden,Gothenburg,Sweden,Stockholm,,M,72
1919,Peace,for his role as founder of the League of Nations,,,1856,1924,Woodrow Wilson,USA,Staunton VA,USA,Washington D.C.,,M,68
1907,Literature,in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author,,,1865,1936,Rudyard Kipling,India,Mumbai,United Kingdom,London,,M,71
1950,Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,,,1872,1970,Bertrand Russell,United Kingdom,Trelleck,United Kingdom,Penrhyndeudraeth,,M,98
1994,Literature,who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today,,,1935,2023,Kenzaburo Oe,Japan,Uchiko,Japan,Tokyo,,M,88
1977,Economics,for their pathbreaking contribution to the theory of international trade and international capital movements,University of Cambridge,Cambridge,1907,1995,James E. Meade,United Kingdom,Swanage,United Kingdom,Cambridge,United Kingdom,M,88
1958,Physics,for the discovery and the interpretation of the Cherenkov effect,Lomonosov Moscow State University,Moscow,1908,1990,IlÔja M. Frank,Russia,St. Petersburg,Russia,Moscow,Russia,M,82
2000,Peace,for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular,,,1925,2009,Kim Dae-jung,South Korea,Mokpo,,,,M,84
1953,Chemistry,for his discoveries in the field of macromolecular chemistry,University of Freiburg,Breisgau,1881,1965,Hermann Staudinger,Germany,Worms,Germany,Freiburg im Breisgau,Germany,M,84
1958,Chemistry,for his work on the structure of proteins especially that of insulin,University of Cambridge,Cambridge,1918,2013,Frederick Sanger,United Kingdom,Rendcombe,United Kingdom,Cambridge,United Kingdom,M,95
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,UniversitÇ Louis Pasteur,Strasbourg,1939,,Jean-Marie Lehn,France,Rosheim,,,France,M,
1993,Chemistry,for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies,University of British Columbia,Vancouver,1932,2000,Michael Smith,United Kingdom,Blackpool,Canada,Vancouver,Canada,M,68
1997,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),MRC Laboratory of Molecular Biology,Cambridge,1941,,John E. Walker,United Kingdom,Halifax,,,United Kingdom,M,
1905,Medicine,for his investigations and discoveries in relation to tuberculosis,Institute for Infectious Diseases,Berlin,1843,1910,Robert Koch,Germany,Clausthal-Zellerfeld,Germany,Baden-Baden,Germany,M,67
1936,Medicine,for their discoveries relating to chemical transmission of nerve impulses,National Institute for Medical Research,London,1875,1968,Sir Henry Dale,United Kingdom,London,United Kingdom,Cambridge,United Kingdom,M,93
1944,Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,Washington University,St. Louis MO,1874,1965,Joseph Erlanger,USA,San Francisco CA,USA,St. Louis MO,USA,M,91
